Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6997,0,3,18.479919965699587,0,124,9947.058739459768,58.272133201947504,0.0,3,11,33,43,61,72,84,90,110,120,120
GET,/cart,11021,0,2,4.5589329461936305,0,118,11280.106433173034,91.78464770882714,0.0,2,3,3,4,6,15,40,57,90,110,120
POST,/cart,18471,0,4,6.091494775594175,1,197,17020.22949488387,153.8294372406992,0.0,4,5,5,6,8,15,33,47,88,180,200
POST,/cart/checkout,7358,0,3,4.602609404729546,1,105,6406.181842892091,61.27859884235097,0.0,3,4,5,5,7,11,18,22,82,100,100
POST,/cart/empty,3609,0,4,7.1341091715156555,2,108,9923.65004156276,30.05632824436595,0.0,4,5,5,6,9,20,52,72,100,110,110
GET,/product/0PUK6V6EV0,6122,0,2,4.390558640967004,1,110,7539.137373407383,50.9849934918283,0.0,2,3,3,3,5,15,39,52,88,110,110
GET,/product/1YMWWN1N4O,6060,0,2,4.263201320132013,1,99,7587.290264026403,50.46864759236843,0.0,2,3,3,3,5,14,37,51,85,99,99
GET,/product/2ZYFJ3GM2N,6004,0,2,4.498334443704197,0,111,7559.887908061292,50.0022706509208,0.0,2,3,3,3,5,15,40,55,96,110,110
GET,/product/66VCHSJNUP,6174,0,2,4.311305474570781,0,109,7526.577583414318,51.4180577946011,0.0,2,2,3,3,5,13,39,55,98,110,110
GET,/product/6E92ZMYYFZ,6095,0,2,4.288597210828548,1,108,7533.225758818704,50.760133180773195,0.0,2,3,3,3,5,14,37,53,91,110,110
GET,/product/9SIQT8TOJO,6081,0,2,4.320342049005098,1,113,7586.42821904292,50.64353894541129,0.0,2,3,3,3,5,14,36,54,85,110,110
GET,/product/L9ECAV7KIM,6132,0,2,4.132257012393999,0,111,7557.704990215264,51.06827508851538,0.0,2,3,3,3,5,13,33,48,89,110,110
GET,/product/LS4PSXUNUM,6132,0,2,4.170906718851924,0,108,7551.891063274625,51.06827508851538,0.0,2,3,3,3,5,12,36,50,80,110,110
GET,/product/OLJCESPC7Z,6268,0,2,4.241384811742183,0,113,7589.675335035099,52.20090480345962,0.0,2,3,3,3,5,13,35,53,100,110,110
POST,/setCurrency,7415,0,4,7.413621038435603,2,162,9967.896965610249,61.75330394346731,0.0,4,5,6,6,9,22,54,72,110,160,160
,Aggregated,109939,0,3,5.847788318976887,0,197,9836.59866835245,915.5895458180515,0.0,3,4,4,5,8,24,51,66,98,120,200
