Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,21649,0,32,56.92244445470922,1,404,9946.225460760312,179.96768153588488,0.0,32,61,88,100,140,170,200,230,310,360,400
GET,/cart,33756,0,23,34.59604218509302,0,429,11137.149780779713,280.6129178218546,0.0,23,32,40,46,71,110,160,190,290,360,430
POST,/cart,55561,0,37,50.421140728208634,1,492,17013.603120894153,461.87742407572176,0.0,37,49,59,66,95,140,210,250,360,440,490
POST,/cart/checkout,22251,0,49,63.744910341108266,1,640,6406.341827333603,184.9720948706626,0.0,49,65,78,87,120,160,240,280,430,550,640
POST,/cart/empty,11318,0,35,49.509542321965014,2,485,9923.20728043824,94.08629588540558,0.0,35,47,57,65,99,150,220,260,360,420,480
GET,/product/0PUK6V6EV0,18657,0,20,30.104947204802485,1,350,7539.842739990352,155.095248483302,0.0,20,28,34,40,62,94,140,170,270,350,350
GET,/product/1YMWWN1N4O,18219,0,20,29.690652615401504,0,340,7586.223722487513,151.45416369819793,0.0,20,27,34,39,61,94,140,170,240,320,340
GET,/product/2ZYFJ3GM2N,18737,0,20,29.924801195495544,0,352,7558.404387041683,155.76028680021597,0.0,20,27,34,39,61,94,140,180,260,340,350
GET,/product/66VCHSJNUP,18743,0,20,29.768020060822707,0,313,7526.315104305608,155.8101646739845,0.0,20,27,34,39,61,94,140,170,250,310,310
GET,/product/6E92ZMYYFZ,18442,0,20,29.50037956837653,0,391,7533.940245092723,153.30795800659564,0.0,20,27,34,39,60,94,140,160,240,350,390
GET,/product/9SIQT8TOJO,18554,0,20,30.144443246739247,0,429,7585.532715317452,154.23901165027522,0.0,20,28,35,40,62,95,140,170,260,390,430
GET,/product/L9ECAV7KIM,18576,0,20,29.892711024978468,0,333,7557.390180878553,154.42189718742657,0.0,20,28,34,40,61,93,140,170,260,330,330
GET,/product/LS4PSXUNUM,18782,0,20,29.47731870940262,0,410,7550.522521563199,156.13437085348008,0.0,20,27,34,39,60,93,140,160,250,340,410
GET,/product/OLJCESPC7Z,18539,0,20,29.559091644641025,1,395,7588.74631857166,154.11431696585385,0.0,20,27,34,39,60,93,140,160,260,310,400
POST,/setCurrency,22401,0,32,45.07124681933842,1,446,9967.358376858176,186.2190417148763,0.0,32,43,51,58,87,140,190,230,340,430,450
,Aggregated,334185,0,26,39.41374388437542,0,640,9811.463405000224,2778.0728742237375,0.0,26,37,47,54,85,120,180,210,330,440,640
