Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18354,0,13,39.163779012749266,0,303,9945.845265337257,153.84228753445336,0.0,13,40,67,80,110,130,160,180,230,290,300
GET,/cart,27996,0,10,16.9127732533219,0,263,11084.944420631518,234.66103747491314,0.0,10,13,16,18,33,65,110,130,200,240,260
POST,/cart,47148,0,17,23.839929583439382,1,302,16999.03735047086,395.1921201195601,0.0,17,21,24,27,42,74,130,160,240,300,300
POST,/cart/checkout,19216,0,21,27.573532472939217,1,318,6406.163457535387,161.067527365264,0.0,21,26,30,33,47,67,130,160,250,310,320
POST,/cart/empty,9523,0,16,24.858027932374252,2,327,9923.046098918408,79.82129803806251,0.0,16,20,23,27,47,91,140,170,240,330,330
GET,/product/0PUK6V6EV0,15465,0,9,14.720918202392498,1,252,7539.097381183317,129.62683756785012,0.0,9,12,14,16,29,54,94,110,180,220,250
GET,/product/1YMWWN1N4O,15711,0,9,14.496785691553688,0,287,7585.5455413404625,131.68879696272185,0.0,9,11,14,16,28,53,93,110,190,240,290
GET,/product/2ZYFJ3GM2N,15675,0,9,14.92255183413078,0,258,7557.934354066986,131.38704680737476,0.0,9,12,14,16,29,56,95,120,190,240,260
GET,/product/66VCHSJNUP,15978,0,9,14.744023031668544,0,280,7525.8420327950935,133.926777281546,0.0,9,12,14,16,28,54,94,120,190,260,280
GET,/product/6E92ZMYYFZ,15767,0,9,14.6427348259022,0,234,7533.141307794761,132.15818609326175,0.0,9,11,14,16,29,57,91,120,180,230,230
GET,/product/9SIQT8TOJO,15623,0,9,14.71509953274019,0,238,7584.3180567112595,130.95118547187343,0.0,9,11,14,16,28,54,95,120,180,220,240
GET,/product/L9ECAV7KIM,15770,0,9,14.74571972098922,0,266,7556.636271401395,132.18333193954066,0.0,9,12,14,16,29,56,94,120,170,210,270
GET,/product/LS4PSXUNUM,15833,0,9,14.63809764416093,0,241,7549.943851449504,132.71139471139804,0.0,9,12,14,16,28,56,94,120,180,230,240
GET,/product/OLJCESPC7Z,15679,0,9,14.898271573442184,0,286,7587.697939919638,131.42057460241332,0.0,9,12,14,16,29,56,94,120,180,220,290
POST,/setCurrency,19142,0,15,22.661947549890293,1,267,9967.105422630864,160.44726315705057,0.0,15,18,22,24,41,81,130,160,230,260,270
,Aggregated,282880,0,12,19.797256787330316,0,327,9799.791575933257,2371.085665127284,0.0,12,16,20,23,41,76,120,140,220,270,330
