Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,23484,0,130,147.75268267756772,1,904,9946.318003747232,195.17291002322617,0.0,130,170,190,210,270,310,380,430,610,750,900
GET,/cart,35220,0,180,188.58617262918796,0,863,11177.463259511642,292.70949970269226,0.0,180,220,250,270,320,370,430,470,630,770,860
POST,/cart,58560,0,290,293.72247267759565,2,1090,17010.711885245903,486.68564175439127,0.0,290,340,380,400,470,530,600,660,860,1000,1100
POST,/cart/checkout,23122,0,420,416.56591125335177,1,1490,6406.265158723294,192.16436831702586,0.0,420,490,530,560,640,720,800,870,1100,1300,1500
POST,/cart/empty,11809,0,260,269.5016512829198,2,1249,9922.98772122957,98.14328455392086,0.0,260,310,350,370,430,490,560,610,800,990,1200
GET,/product/0PUK6V6EV0,19551,0,150,161.75193084752698,0,787,7539.198455321978,162.48618480088973,0.0,150,190,210,230,280,330,390,430,570,730,790
GET,/product/1YMWWN1N4O,19636,0,150,160.40598899979628,0,660,7585.9197901812995,163.19261033963843,0.0,150,190,210,230,280,320,380,420,560,640,660
GET,/product/2ZYFJ3GM2N,19505,0,150,161.31976416303513,0,743,7559.224147654448,162.10388392109633,0.0,150,190,210,230,280,330,380,420,540,740,740
GET,/product/66VCHSJNUP,19429,0,150,160.69818312831336,0,770,7526.277008595399,161.4722563805681,0.0,150,190,210,230,280,330,380,420,570,650,770
GET,/product/6E92ZMYYFZ,19319,0,150,162.08866918577567,0,986,7533.964232103111,160.55805862454037,0.0,150,190,220,230,280,330,380,420,560,780,990
GET,/product/9SIQT8TOJO,19776,0,150,161.35224514563106,0,745,7585.762186488673,164.356134756401,0.0,150,190,210,230,280,320,380,420,560,670,740
GET,/product/L9ECAV7KIM,19520,0,150,160.82008196721313,1,771,7557.146465163934,162.22854725146374,0.0,150,190,210,230,280,320,390,430,560,740,770
GET,/product/LS4PSXUNUM,19430,0,150,160.9972207925888,0,756,7549.942202779207,161.48056726925924,0.0,150,190,210,230,280,330,380,420,580,720,760
GET,/product/OLJCESPC7Z,19521,0,150,160.04000819630141,0,894,7588.167921725321,162.2368581401549,0.0,150,190,210,230,280,320,380,420,560,750,890
POST,/setCurrency,23395,0,240,243.51139132293224,1,941,9968.81820901902,194.43324092971284,0.0,240,280,320,340,400,450,520,570,720,860,940
,Aggregated,351277,0,190,210.99661236004636,0,1490,9820.89486644443,2919.424046764981,0.0,190,240,280,310,390,470,570,640,860,1000,1500
