Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728414993,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728414994,12,,Aggregated,0.000000,0.000000,46,50,50,50,58,58,58,58,58,58,58,7,0,46,43.42857142857143,16,58,9422.42857142857
1728414995,24,,Aggregated,0.000000,0.000000,42,50,66,68,73,85,86,86,86,86,86,36,0,42,44.138888888888886,2,86,9204.583333333334
1728414996,36,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728414997,48,,Aggregated,0.000000,0.000000,49,60,62,67,110,110,140,140,140,140,140,42,0,46,47.42857142857143,2,139,9208.309523809523
1728414998,60,,Aggregated,0.000000,0.000000,42,57,62,71,89,110,120,140,140,140,140,84,0,41728411728414999,72,,Aggregate1728414999,72,,A1728414999,72,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728415000,84,,Aggregated,0.000000,0.000000,40,59,78,83,110,130,140,150,150,150,150,63,0,40,45.77777777777778,1,153,9748.031746031746
1728415001,96,,Aggregated,0.000000,0.000000,46,65,82,97,120,130,140,140,150,150,150,125,0,46,50.448,1,153,9592.32
1728415003,108,,Aggregated,0.000000,0.000000,77,77,83,83,83,83,83,83,83,83,83,3,0,77,77.66666666666667,73,83,9913.0
1728415004,120,,Aggregated,0.000000,0.000000,11,24,60,71,92,100,120,140,140,140,1728415004,132,,Aggregate1728415005,132,,Aggrega17284151728415005,132,,Aggregated,3.000000,0.000000,24,60,76,90,110,140,140,180,190,190,190,135,0,24,44.24444444444445,1,191,9340.881481481481
1728415006,144,,Aggregated,0.000000,0.000000,80,82,82,84,84,84,84,84,84,84,84,5,0,80,77.8,71,84,9440.2
1728415007,156,,Aggregated,0.000000,0.000000,60,80,93,100,120,150,190,220,220,220,220,87,0,60,55.88505747126437,1,222,9804.862068965518
1728415008,168,,Aggregated,5.000000,0.000000,35,77,92,100,120,150,180,190,220,220,220,180,0,35,52.77777777777778,1,222,9586.405555555555
1728415009,180,,Aggregated,0.000000,0.000000,801721728415010,192,,Aggregated,0.000000,0.000000,43,1728411728415010,192,,Aggregated,0.000000,0.000000,41,65,80,85,110,130,140,150,150,150,150,103,0,41,47.71844660194175,1,149,9301.990291262136
1728415011,204,,Aggregated,0.000000,0.000000,30,56,71,80,100,120,140,150,160,160,160,195,0,30,42.312820512820515,1,158,9634.753846153846
1728415012,216,,Aggregated,0.000000,0.000000,84,84,84,84,84,84,84,84,84,84,84,2,0,83,83.5,83,84,9913.0
1728415013,228,,Aggregated,0.000000,0.000000,39,77,92,100,140,160,180,190,200,200,200,141,0,39,54.97163120567376,2,203,9529.035460992907
1728415014,240,,Aggregated,0.000000,0.000000,45,77,95,100,140,11728415015,252,,Aggregated,0.00001728415015,252,,Aggregated,0.000000,0.00000172841721728415015,252,,Aggregated,0.000000,0.000000,72,72,72,72,72,72,72,72,72,72,72,3,0,72,69.33333333333333,64,72,8351.0
1728415016,264,,Aggregated,0.000000,0.000000,54,86,110,120,170,210,220,220,230,230,230,117,0,54,70.25641025641026,2,230,9565.48717948718
1728415017,276,,Aggregated,1.000000,0.000000,64,93,120,130,170,210,220,230,290,290,290,255,0,64,76.74117647058823,2,294,9383.152941176471
1728415018,288,,Aggregated,0.000000,0.000000,81,83,85,85,93,93,93,93,93,93,93,8,0,79,77.375,63,93,9322.25
1728415019,300,,Aggregated,0.000000,0.000000,97,130,1501728415020,312,,Aggregated,1.000000,0.01728411728415020,312,,Aggregated,0.001728415020,1728415020,312,,Aggregated,01728415020,312,,Aggregated,1.000000,0.000000,86,120,140,160,200,260,290,300,340,340,340,307,0,86,103.48208469055375,3,344,9720.035830618892
1728415021,324,,Aggregated,0.000000,0.000000,79,79,79,79,79,79,79,79,79,79,79,2,0,54,66.5,54,79,8722.0
1728415022,336,,Aggregated,0.000000,0.000000,140,190,210,220,280,340,380,410,470,470,470,156,0,140,163.07051282051282,7,467,9516.108974358975
1728415023,348,,Aggregated,1.000000,0.000000,150,200,240,260,300,360,410,470,520,520,520,311,0,150,175.0,1,517,9429.199356913183
1728415024,360,,Aggregat1728415025,360,,A171728415025,360,1728415025,360,,Aggregated,0.000000,0.000000,160,210,240,260,300,360,460,540,570,570,570,185,0,160,181.07567567567568,8,568,9804.924324324324
1728415026,360,,Aggregated,2.000000,0.000000,120,160,200,220,280,340,400,460,570,570,570,337,0,120,146.01483679525222,8,568,9918.278931750741
1728415027,360,,Aggregated,0.000000,0.000000,17,27,28,28,31,37,37,37,37,37,37,11,0,17,19.545454545454547,3,37,10691.454545454546
171728415025,7200,,Aggregated,2572.000000,0.000000,67,100,120,140,180,230,290,330,460,540,680,55613,0,67,81.60404941290706,0,683,9531.978188553036
1728415026,7200,,Aggregated,2572.000000,0.000000,67,100,120,140,180,2301728415030,360,,Aggregated,0.000000,0.000000,38,47,491728415030,360,,Aggregated,0.000000,0.000000,46,53,68,88,94,100,100,100,100,100,100,14,0,42,51.57142857142857,17,102,10233.214285714286
1728415031,360,,Aggregated,0.000000,0.000000,66,88,100,110,140,170,230,270,290,290,290,197,0,66,79.06598984771574,15,293,9729.97461928934
1728415032,360,,Aggregated,0.000000,0.000000,52,67,81,92,120,140,180,230,290,290,290,368,0,51,63.58695652173913,6,293,9760.654891304348
