Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9251,0,4,22.617014376824127,0,137,9946.642957518106,77.53128004744985,0.0,4,14,44,54,74,85,96,100,120,140,140
GET,/cart,14290,0,2,5.39223233030091,0,131,11172.504828551435,119.76240318647265,0.0,2,3,4,4,7,20,49,66,110,130,130
POST,/cart,23642,0,5,7.373826241434735,1,200,17006.61547246426,198.1401494845757,0.0,5,6,7,7,11,21,45,61,110,160,200
POST,/cart/checkout,9414,0,4,5.846292755470576,1,154,6406.357552581262,78.89735924404853,0.0,4,5,6,7,10,15,25,32,76,150,150
POST,/cart/empty,4753,0,5,8.236271828318957,2,133,9923.55270355565,39.834198904499964,0.0,5,6,7,7,11,23,64,84,120,130,130
GET,/product/0PUK6V6EV0,8053,0,2,4.8786787532596545,0,117,7539.748416739103,67.49101699514796,0.0,2,3,4,4,7,15,43,57,98,120,120
GET,/product/1YMWWN1N4O,7884,0,2,5.372146118721461,0,122,7586.7075088787415,66.07465267474811,0.0,2,3,4,4,8,20,49,66,100,120,120
GET,/product/2ZYFJ3GM2N,7897,0,2,5.113587438267697,0,131,7559.016841838673,66.18360377631733,0.0,2,3,4,4,7,18,47,62,110,130,130
GET,/product/66VCHSJNUP,8008,0,2,5.048451548451548,0,117,7527.305569430569,67.11387856663912,0.0,2,3,4,4,7,18,43,59,100,120,120
GET,/product/6E92ZMYYFZ,7843,0,2,5.189340813464236,1,129,7534.320668111692,65.73103766210671,0.0,2,3,4,4,7,17,48,62,110,130,130
GET,/product/9SIQT8TOJO,7845,0,2,5.003441682600382,0,113,7585.492670490758,65.74779937004044,0.0,2,3,4,4,7,17,44,62,95,110,110
GET,/product/L9ECAV7KIM,7726,0,2,4.807015273103805,0,111,7557.148200880145,64.75047774798374,0.0,2,3,3,4,7,15,43,58,100,110,110
GET,/product/LS4PSXUNUM,7811,0,2,5.069517347330687,0,110,7550.542312123928,65.4628503351671,0.0,2,3,4,4,7,19,44,60,96,110,110
GET,/product/OLJCESPC7Z,8034,0,2,5.206372915110779,0,112,7589.164799601693,67.33178076977755,0.0,2,3,4,4,8,20,47,62,100,110,110
POST,/setCurrency,9551,0,5,8.573343105433986,2,192,9967.41712909643,80.04553623750877,0.0,5,6,7,7,12,30,65,81,120,190,190
,Aggregated,142002,0,3,7.02563344178251,0,200,9815.743672624329,1190.0980250024836,0.0,3,4,5,6,11,32,62,78,110,130,200
