Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14451,0,8,29.89059580651858,0,231,9947.302885613452,120.22071293010906,0.0,8,27,54,65,91,110,130,140,170,210,230
GET,/cart,22366,0,5,9.581284091925244,0,189,11075.134221586337,186.06715558749008,0.0,5,7,8,10,17,38,72,93,140,170,190
POST,/cart,37476,0,9,13.250053367488526,1,235,17004.776310171845,311.770219207582,0.0,9,11,13,15,22,40,79,100,160,230,240
POST,/cart/checkout,14984,0,10,13.353310197544047,0,197,6406.176054458088,124.65484482352461,0.0,10,13,16,17,24,35,55,78,140,160,200
POST,/cart/empty,7646,0,8,14.876405963902695,1,258,9923.12254773738,63.60857871867787,0.0,8,11,13,15,25,60,100,130,190,260,260
GET,/product/0PUK6V6EV0,12545,0,4,8.507134316460741,0,189,7538.94539657234,104.36432383282944,0.0,4,6,7,9,15,32,67,82,130,170,190
GET,/product/1YMWWN1N4O,12630,0,4,8.491053048297704,0,169,7585.44893111639,105.07145556067245,0.0,4,6,7,9,15,32,65,84,140,170,170
GET,/product/2ZYFJ3GM2N,12325,0,4,8.848519269776876,0,168,7559.093062880324,102.53410053723577,0.0,4,6,8,9,15,36,68,89,140,160,170
GET,/product/66VCHSJNUP,12377,0,4,8.605558697584229,0,155,7526.680294093884,102.96669877073973,0.0,4,6,8,9,15,34,66,84,130,150,160
GET,/product/6E92ZMYYFZ,12495,0,4,8.648979591836735,0,164,7533.590236094437,103.94836399292178,0.0,4,6,8,9,15,34,66,83,130,160,160
GET,/product/9SIQT8TOJO,12440,0,4,8.512057877813504,0,161,7585.708922829582,103.49080816902337,0.0,4,6,7,9,15,33,67,84,120,160,160
GET,/product/L9ECAV7KIM,12367,0,4,8.674132772701544,0,178,7557.062181612356,102.8835068027582,0.0,4,6,8,9,15,34,66,87,130,170,180
GET,/product/LS4PSXUNUM,12486,0,4,8.584814992791927,0,161,7551.154973570398,103.8734912217384,0.0,4,6,8,9,15,34,66,83,120,150,160
GET,/product/OLJCESPC7Z,12566,0,4,8.424080853095655,1,195,7587.7019735795,104.53902696559065,0.0,4,6,7,9,15,33,63,82,130,170,200
POST,/setCurrency,14877,0,8,13.78920481279828,1,221,9967.565436579956,123.76469076612224,0.0,8,10,12,14,22,50,94,120,180,220,220
,Aggregated,224031,0,6,11.71975306988765,0,258,9807.423820810513,1863.7579778870156,0.0,6,8,11,12,22,51,85,100,150,200,260
