Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8064,0,3,21.211185515873016,1,130,9947.031001984127,67.14000990423739,0.0,3,13,41,51,69,80,91,99,120,130,130
GET,/cart,12538,0,2,5.037087254745574,0,116,11175.421199553357,104.3900600420794,0.0,2,3,3,4,6,18,45,63,110,120,120
POST,/cart,20775,0,4,6.721058965102286,1,181,17024.24880866426,172.9704496230818,0.0,4,5,6,6,10,18,40,55,97,160,180
POST,/cart/checkout,8268,0,4,5.190009675858732,0,136,6406.321722302854,68.83849229764814,0.0,4,5,5,6,8,13,22,30,100,140,140
POST,/cart/empty,4173,0,4,8.25664989216391,2,151,9923.400910615865,34.7439560181526,0.0,4,5,6,7,11,31,66,83,120,150,150
GET,/product/0PUK6V6EV0,6815,0,2,4.689948642699926,0,109,7540.299926632429,56.740968191639105,0.0,2,3,3,4,6,15,42,58,99,110,110
GET,/product/1YMWWN1N4O,6902,0,2,4.744421906693712,0,118,7586.4375543320775,57.46532097706429,0.0,2,3,3,4,6,16,43,59,110,120,120
GET,/product/2ZYFJ3GM2N,6956,0,2,4.810523289246693,0,122,7559.106382978724,57.91491925767302,0.0,2,3,3,4,6,18,44,58,88,120,120
GET,/product/66VCHSJNUP,6858,0,2,4.593759113444153,1,110,7526.693496646252,57.09898163730902,0.0,2,3,3,4,6,15,41,58,92,110,110
GET,/product/6E92ZMYYFZ,6890,0,2,4.546734397677794,1,113,7534.629753265603,57.36541024804012,0.0,2,3,3,4,6,16,39,53,89,110,110
GET,/product/9SIQT8TOJO,6830,0,2,4.8953147877013174,1,111,7586.687115666178,56.86585660291931,0.0,2,3,3,4,6,19,46,61,97,110,110
GET,/product/L9ECAV7KIM,6941,0,2,4.489266676271431,0,114,7557.151130960957,57.79003084639282,0.0,2,3,3,4,6,13,41,55,87,110,110
GET,/product/LS4PSXUNUM,6880,0,2,4.635901162790698,0,121,7550.806395348837,57.28215130718665,0.0,2,3,3,4,6,17,42,54,87,120,120
GET,/product/OLJCESPC7Z,6866,0,2,4.662685697640548,1,120,7588.299883483834,57.1655887899918,0.0,2,3,3,4,6,16,40,57,91,120,120
POST,/setCurrency,8442,0,5,8.035418147358445,2,197,9967.898128405592,70.28719786849851,0.0,5,5,6,7,10,28,61,78,110,200,200
,Aggregated,124198,0,3,6.5100726259682125,0,197,9828.817621861866,1034.059393611914,0.0,3,4,5,5,9,29,59,73,100,120,200
