Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,19092,0,15,40.607165304839725,0,330,9946.51141839514,160.01749143178424,0.0,15,41,69,82,110,130,160,180,240,330,330
GET,/cart,30026,0,11,18.46812762272697,0,286,11193.164024512089,251.65960599888714,0.0,11,15,18,20,35,68,110,140,210,270,290
POST,/cart,49452,0,19,26.573728059532478,2,468,17013.035610288764,414.4764815778648,0.0,19,23,27,30,46,80,140,170,280,380,470
POST,/cart/checkout,19778,0,24,30.982101324704217,1,391,6406.457528567094,165.7671247400916,0.0,24,29,34,37,54,77,130,160,270,380,390
POST,/cart/empty,9850,0,18,27.21746192893401,2,392,9923.145989847715,82.55668817321782,0.0,18,22,26,30,49,94,150,180,280,390,390
GET,/product/0PUK6V6EV0,16225,0,10,16.470631741140217,0,295,7539.209121725732,135.98804727009738,0.0,10,13,15,18,32,61,100,130,210,280,300
GET,/product/1YMWWN1N4O,16510,0,10,16.164324651726226,0,259,7586.700181708055,138.37674332384023,0.0,10,13,15,18,31,57,100,120,180,260,260
GET,/product/2ZYFJ3GM2N,16467,0,10,16.37147021315358,0,283,7559.520495536528,138.01634356836325,0.0,10,13,16,18,31,60,100,120,200,240,280
GET,/product/66VCHSJNUP,16598,0,10,15.864802988311844,0,308,7526.128810700085,139.11430561411873,0.0,10,13,16,18,30,55,91,120,190,270,310
GET,/product/6E92ZMYYFZ,16514,0,10,16.314702676516895,0,262,7534.030035121715,138.41026888248925,0.0,10,13,16,18,32,60,97,120,190,250,260
GET,/product/9SIQT8TOJO,16415,0,10,16.64837039293329,1,289,7585.678830338105,137.58051130592594,0.0,10,13,16,18,32,62,100,130,190,240,290
GET,/product/L9ECAV7KIM,16564,0,10,16.51974160830717,0,302,7556.713233518474,138.82933836560204,0.0,10,13,16,18,33,61,99,120,200,290,300
GET,/product/LS4PSXUNUM,16621,0,10,16.49395343240479,0,291,7550.334095421455,139.30707757635062,0.0,10,13,16,18,32,58,100,130,200,270,290
GET,/product/OLJCESPC7Z,16833,0,10,16.50353472345987,0,312,7588.798609873463,141.0839321847488,0.0,10,13,16,18,32,60,100,120,200,290,310
POST,/setCurrency,19687,0,16,25.16838522883121,1,396,9968.581856047138,165.00441828082634,0.0,16,20,24,28,45,87,140,170,250,310,400
,Aggregated,296632,0,13,21.762908249952805,0,468,9818.016222120337,2486.188378294208,0.0,13,18,22,26,45,81,120,150,240,320,470
