Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,22453,0,60,73.73892130227587,1,565,9946.495078608648,186.62249224814232,0.0,60,82,99,110,150,180,230,260,410,510,560
GET,/cart,34677,0,53,63.79871384491161,0,478,11158.151195316781,288.2246543307723,0.0,53,70,82,91,120,150,200,240,370,460,480
POST,/cart,57264,0,84,97.01547219893826,1,708,17011.51973316569,475.96091373525235,0.0,84,110,120,130,170,210,290,350,530,680,710
POST,/cart/checkout,22927,0,120,132.4463732716884,1,881,6406.609674183277,190.56223577130712,0.0,120,150,170,180,230,280,380,470,650,850,880
POST,/cart/empty,11231,0,78,91.0671356068026,2,692,9923.098032232214,93.34864875245563,0.0,78,99,120,120,160,200,280,340,500,590,690
GET,/product/0PUK6V6EV0,19304,0,45,55.166597596353085,0,464,7539.322420223788,160.44896407420563,0.0,45,60,71,79,100,130,180,220,330,420,460
GET,/product/1YMWWN1N4O,19377,0,45,54.670072766682146,0,537,7585.887650307065,161.0557178235538,0.0,45,59,71,78,100,130,180,210,360,500,540
GET,/product/2ZYFJ3GM2N,19138,0,45,54.9307660152576,0,485,7559.135437349775,159.0692226715783,0.0,45,59,71,79,100,130,180,220,350,480,480
GET,/product/66VCHSJNUP,19241,0,45,55.09074372433865,1,595,7526.850735408762,159.92532727682297,0.0,45,60,71,78,100,130,180,220,350,480,600
GET,/product/6E92ZMYYFZ,18931,0,45,54.49516665786277,0,648,7533.551740531403,157.3487017658924,0.0,45,59,69,77,100,130,180,220,340,500,650
GET,/product/9SIQT8TOJO,19066,0,45,54.68839819574111,0,526,7585.379156613868,158.47078061742667,0.0,45,59,70,78,100,130,180,220,350,430,530
GET,/product/L9ECAV7KIM,19012,0,45,54.872817168104355,0,491,7557.072796128761,158.02194907681297,0.0,45,60,71,79,100,140,180,220,330,400,490
GET,/product/LS4PSXUNUM,19097,0,45,54.61245221762581,0,529,7550.092841807614,158.72844316851973,0.0,45,60,70,78,100,130,180,220,340,420,530
GET,/product/OLJCESPC7Z,19202,0,45,54.574315175502555,0,478,7588.263097594001,159.6011711641575,0.0,45,59,70,79,100,130,180,220,350,450,480
POST,/setCurrency,22887,0,71,83.26132739109538,1,693,9967.72027788701,190.2297679634451,0.0,71,90,100,120,150,190,260,310,460,590,690
,Aggregated,343807,0,58,72.22793602224503,0,881,9812.774658456634,2857.618990440345,0.0,58,78,94,100,140,180,240,290,480,660,880
