Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728408573,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728408574,3,,Aggregated,0.000000,0.000000,14,30,32,32,33,33,33,33,33,33,33,8,0,8,16.25,2,33,9101.0
1728408575,6,,Aggregated,0.000000,0.000000,30,31,32,32,40,52,52,52,52,52,52,16,0,14,21.0625,2,52,9824.5
1728408576,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728408577,13,,Aggregated,0.000000,0.000000,6,16,17,17,18,27,27,27,27,27,27,11,0,6,9.272727272727273,2,27,9303.272727272728
1728408578,16,,Aggregated,0.000000,0.000000,8,16,17,17,18,27,27,27,27,27,27,18,0,6,9.944444444444445,1,217284081728408579,20,1728408579,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728408580,23,,Aggregated,0.000000,0.000000,15,22,33,38,41,45,45,45,45,45,45,13,0,15,17.76923076923077,2,45,8955.307692307691
1728408581,26,,Aggregated,0.000000,0.000000,8,15,19,21,38,41,45,45,45,45,45,28,0,5,12.535714285714286,2,45,9322.464285714286
1728408582,29,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728408583,33,,Aggregated,0.000000,0.000000,19,26,30,33,54,1728408584,36,,Aggregated,0.000000,1728408584,36,,Aggr1728408584,37,1728408584,36,,Aggregated,0.000000,0.000000,18,26,30,33,47,54,67,67,67,67,67,37,0,18,19.513513513513512,1,67,9403.972972972973
1728408585,39,,Aggregated,0.000000,0.000000,4,4,4,4,4,4,4,4,4,4,4,2,0,2,3.0,2,4,12587.5
1728408586,43,,Aggregated,0.000000,0.000000,3,16,19,24,33,36,40,40,40,40,40,29,0,3,11.310344827586206,2,40,9699.551724137931
1728408587,46,,Aggregated,0.000000,0.000000,4,18,24,30,40,50,80,80,80,80,80,50,0,4,15.24,1,80,9503.46
1728408588,49,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A1728408589,53,,Aggregated1728408589,521728408589,53,,Aggregated,0.000000,0.000000,20,31,46,56,58,61,74,74,74,74,74,24,0,18,25.458333333333332,2,74,9532.708333333334
1728408590,56,,Aggregated,0.000000,0.000000,8,23,34,46,58,67,74,110,110,110,110,63,0,8,21.26984126984127,1,108,9866.238095238095
1728408591,59,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728408592,62,,Aggregated,0.000000,0.000000,4,11,13,27,40,68,74,74,74,74,74,37,0,4,13.54054054054054,1,74,9819.0
1728408593,66,,Aggregated,0.000000,0.000000,4,13,28,35,53,66,74,78,78,78,78,71721728408594,70,,Agg172841728408591728408594,69,,Aggregated,0.000000,0.000000,4,4,4,4,4,4,4,4,4,4,4,1,0,4,4.0,4,4,7549.0
1728408595,72,,Aggregated,0.000000,0.000000,3,4,19,20,60,85,90,90,90,90,90,39,0,3,14.717948717948717,2,90,9215.0
1728408596,76,,Aggregated,0.000000,0.000000,3,4,8,18,53,60,85,90,90,90,90,87,0,3,12.229885057471265,1,90,9847.597701149425
1728408597,79,,Aggregated,0.000000,0.000000,2,2,3,3,5,5,5,5,5,5,5,6,0,2,2.6666666666666665,2,5,8588.166666666666
1728408598,82,,Aggregated,0.000000,0.000000,3,5,6,18,43,49,100,100,100,100,100,50,0,317284085172840817284081728408599,86,,Aggregated,0.000000,0.000000,4,15,29,40,56,80,85,100,1728408599,86,,Aggregated,0.000000,0.000000,4,22,34,44,52,54,78,82,82,82,82,82,0,3,18.085365853658537,1,82,9689.365853658537
1728408600,89,,Aggregated,0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,2,0,3,4.0,3,5,8756.5
1728408601,93,,Aggregated,0.000000,0.000000,6,24,37,37,58,68,69,98,98,98,98,52,0,6,21.442307692307693,2,98,9799.76923076923
1728408602,96,,Aggregated,0.000000,0.000000,4,22,34,37,55,65,70,98,98,98,98,91,0,4,17.736263736263737,1,98,9362.32967031728408604,100,,Agg1728408604,100,,Aggregated,0.000000,0.000000,3,4,4,4,6,10,23,23,23,23,23,42,1728408604,100,,Aggregated,0.000000,0.000000,3,5,8,13,23,39,48,65,65,65,65,68,0,3,8.558823529411764,1,65,10186.558823529413
1728408605,100,,Aggregated,0.000000,0.000000,3,3,5,5,16,32,42,48,65,65,65,118,0,3,6.203389830508475,1,65,9918.228813559323
1728408606,100,,Aggregated,0.000000,0.000000,2,3,4,4,4,4,4,4,4,4,4,7,0,2,2.7142857142857144,2,4,12829.285714285714
