Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15962,0,10,33.364240070166645,1,318,9946.685252474626,132.68475395536072,0.0,10,32,59,72,99,120,140,160,230,290,320
GET,/cart,24836,0,6,11.80330971170881,0,269,11148.29292156547,206.45022862018163,0.0,6,9,11,12,22,45,85,110,160,240,270
POST,/cart,41175,0,11,16.391451123254402,1,338,17012.991596842745,342.26880993058376,0.0,11,14,16,18,28,50,94,120,200,250,340
POST,/cart/checkout,16482,0,13,17.404865914330784,1,265,6406.264166970028,137.00727444507302,0.0,13,17,20,22,30,45,74,100,190,260,260
POST,/cart/empty,8191,0,10,17.452325723354903,1,274,9923.280673910389,68.08801025237187,0.0,10,13,16,18,31,64,120,150,240,270,270
GET,/product/0PUK6V6EV0,13844,0,6,10.566021381103727,0,240,7538.941129731292,115.07879549918644,0.0,6,8,10,11,19,41,77,100,150,240,240
GET,/product/1YMWWN1N4O,13893,0,6,10.05837472108256,0,216,7586.819765349456,115.48610992994779,0.0,6,8,9,11,19,36,70,91,160,200,220
GET,/product/2ZYFJ3GM2N,13697,0,6,10.546177995181427,0,231,7558.996568591662,113.85685220690239,0.0,6,8,10,11,20,42,75,96,160,210,230
GET,/product/66VCHSJNUP,13958,0,6,10.456154176816163,0,270,7526.739217652959,116.02642499116183,0.0,6,8,9,11,19,41,75,96,160,230,270
GET,/product/6E92ZMYYFZ,13850,0,6,10.22404332129964,0,264,7534.389169675091,115.12867073560619,0.0,6,8,9,11,19,37,72,92,150,250,260
GET,/product/9SIQT8TOJO,13794,0,6,10.591996520226186,0,240,7586.039219950703,114.6631685290218,0.0,6,8,10,11,20,40,77,100,160,230,240
GET,/product/L9ECAV7KIM,13700,0,6,10.464817518248175,0,203,7557.640437956205,113.88178982511226,0.0,6,8,10,11,20,42,75,97,150,190,200
GET,/product/LS4PSXUNUM,13692,0,6,10.401256208004675,0,187,7550.135918784692,113.81528950988593,0.0,6,8,10,11,20,39,74,95,160,190,190
GET,/product/OLJCESPC7Z,13664,0,6,10.60319086651054,0,248,7588.5221018735365,113.58253840659373,0.0,6,8,9,11,20,42,78,100,160,220,250
POST,/setCurrency,16489,0,10,16.51052216629268,2,352,9967.385893626053,137.06546222089608,0.0,10,13,15,17,29,60,100,130,200,310,350
,Aggregated,247227,0,7,14.146812443624684,0,352,9810.19545599793,2055.0841790578856,0.0,7,11,13,16,28,59,96,120,180,260,350
