traceID,spanID,operationName,refType,parentSpanID,startTime,duration,processID,spanKind
ec91f6dac579b55df38a1fd991bbc2de,adf325a71694c583,currencyservice.CurrencyService.GetSupportedCurrencies,CHILD_OF,304bff2d96b79cd3,1751042156167244,718,p1,client
ec91f6dac579b55df38a1fd991bbc2de,d5e5c3de696ee4ea,adservice.AdService.GetAds,CHILD_OF,304bff2d96b79cd3,1751042156170827,266,p1,client
ec91f6dac579b55df38a1fd991bbc2de,4386ac37ecf29970,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156170374,450,p1,client
ec91f6dac579b55df38a1fd991bbc2de,a59664c2a7818b2a,cartservice.cartCache.Get,CHILD_OF,3764fb1ae10009bb,1751042156168458,7,p2,server
ec91f6dac579b55df38a1fd991bbc2de,7479331ab360e349,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,304bff2d96b79cd3,1751042156167965,147,p1,client
ec91f6dac579b55df38a1fd991bbc2de,f1b733547144ae3b,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156168700,160,p1,client
ec91f6dac579b55df38a1fd991bbc2de,ecdbdc6774c80e98,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,304bff2d96b79cd3,1751042156168114,153,p1,client
ec91f6dac579b55df38a1fd991bbc2de,f682f5cb6ed10fd8,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156168998,742,p1,client
ec91f6dac579b55df38a1fd991bbc2de,c1d205f2539e385e,cartservice.CartService.GetCart,CHILD_OF,304bff2d96b79cd3,1751042156168394,134,p1,client
ec91f6dac579b55df38a1fd991bbc2de,e84bf7164a835eaa,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,7479331ab360e349,1751042156167989,10,p3,server
ec91f6dac579b55df38a1fd991bbc2de,dd15798daf86cf5d,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,304bff2d96b79cd3,1751042156168269,123,p1,client
ec91f6dac579b55df38a1fd991bbc2de,304bff2d96b79cd3,home,,,1751042156167228,4022,p1,server
ec91f6dac579b55df38a1fd991bbc2de,459bacca60d2061b,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156169742,454,p1,client
ec91f6dac579b55df38a1fd991bbc2de,7fa9e730ebe35333,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156170197,36,p1,client
ec91f6dac579b55df38a1fd991bbc2de,603588932a6328ed,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156170336,37,p1,client
ec91f6dac579b55df38a1fd991bbc2de,4eb172905b1a5ec1,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156168530,169,p1,client
ec91f6dac579b55df38a1fd991bbc2de,9f73c34fdc61cd96,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156170234,101,p1,client
ec91f6dac579b55df38a1fd991bbc2de,47462fb1dc72e6bd,cartservice.CartService.GetCart,CHILD_OF,c1d205f2539e385e,1751042156168434,67,p4,server
ec91f6dac579b55df38a1fd991bbc2de,87b496196b899fb4,currencyservice.CurrencyService.Convert,CHILD_OF,304bff2d96b79cd3,1751042156168861,136,p1,client
ec91f6dac579b55df38a1fd991bbc2de,3764fb1ae10009bb,cartservice.cartCache.Get,CHILD_OF,47462fb1dc72e6bd,1751042156168437,51,p4,client
6aebde7d48d835adc85fb8c263fd4705,eef5112836c4829d,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,b5dfdf8b9c1fa92d,1751042156184982,46,p1,client
6aebde7d48d835adc85fb8c263fd4705,45ce214058966c0b,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185029,35,p1,client
6aebde7d48d835adc85fb8c263fd4705,b3e6db1e48bd284f,cartservice.CartService.GetCart,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185111,116,p1,client
6aebde7d48d835adc85fb8c263fd4705,b5dfdf8b9c1fa92d,home,,,1751042156184867,1086,p1,server
6aebde7d48d835adc85fb8c263fd4705,135f4165df3078e7,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,eef5112836c4829d,1751042156185008,12,p2,server
6aebde7d48d835adc85fb8c263fd4705,2674018a84ca2f83,cartservice.cartCache.Get,CHILD_OF,2826e9d7f94206c0,1751042156185162,10,p3,server
6aebde7d48d835adc85fb8c263fd4705,9891daed651ec586,currencyservice.CurrencyService.GetSupportedCurrencies,CHILD_OF,b5dfdf8b9c1fa92d,1751042156184882,97,p1,client
6aebde7d48d835adc85fb8c263fd4705,ae464f20898ae569,productcatalogservice.ProductCatalogService.ListProducts,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185065,44,p1,client
6aebde7d48d835adc85fb8c263fd4705,1aedcb42ec8a0046,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185357,28,p1,client
6aebde7d48d835adc85fb8c263fd4705,2c45b118912d34aa,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185386,49,p1,client
6aebde7d48d835adc85fb8c263fd4705,403d86882a65a5d9,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185437,28,p1,client
6aebde7d48d835adc85fb8c263fd4705,ebba5820559451b6,adservice.AdService.GetAds,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185561,241,p1,client
6aebde7d48d835adc85fb8c263fd4705,049e53d68ba1f228,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185229,43,p1,client
6aebde7d48d835adc85fb8c263fd4705,b18553e95813e217,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185315,40,p1,client
6aebde7d48d835adc85fb8c263fd4705,6297b61e23537757,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185494,27,p1,client
6aebde7d48d835adc85fb8c263fd4705,768e7c4fec6112c3,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185522,35,p1,client
6aebde7d48d835adc85fb8c263fd4705,2826e9d7f94206c0,cartservice.cartCache.Get,CHILD_OF,2df7ec050ce2f84f,1751042156185146,60,p4,client
6aebde7d48d835adc85fb8c263fd4705,2df7ec050ce2f84f,cartservice.CartService.GetCart,CHILD_OF,b3e6db1e48bd284f,1751042156185142,75,p4,server
6aebde7d48d835adc85fb8c263fd4705,b6dffaf6282929ee,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185466,26,p1,client
6aebde7d48d835adc85fb8c263fd4705,779bd57a8d2dd681,currencyservice.CurrencyService.Convert,CHILD_OF,b5dfdf8b9c1fa92d,1751042156185274,40,p1,client
b9225d3c9926788213379284b358188a,ac2e204921400efb,setcurrency,,,1751042156209752,20,p1,server
59c98d34116a7feca24675a4bd91531f,55d99c0b15cb5187,currencyservice.CurrencyService.Convert,CHILD_OF,dcaa52fc02c2d23a,1751042156214055,39,p1,client
